Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating ,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
1,22,Female,T-shirt,Clothing,68,California,XL,Olive,Winter,3.2,No,Standard,No,36,Cash,Weekly
2,51,Male,Sunglasses,Accessories,84,South Carolina,M,White,Spring,3.9,Yes,Free Shipping,Yes,20,Debit Card,Quarterly
3,18,Female,Shirt,Clothing,50,Montana,M,Black,Winter,3.1,No,2-Day Shipping,No,18,Cash,Monthly
4,22,Male,Gloves,Accessories,75,Illinois,L,Red,Fall,4.2,No,Store Pickup,No,25,Cash,Annually
5,40,Female,Jewelry,Accessories,80,Alabama,L,Yellow,Spring,3.6,No,Store Pickup,No,17,Credit Card,Weekly
6,23,Female,Shorts,Clothing,41,California,S,Beige,Summer,3.4,No,2-Day Shipping,No,15,PayPal,Annually
7,62,Male,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,0,No,Express,Yes,2,Venmo,Every 3 Months
8,61,Male,Hat,Accessories,93,Tennessee,M,Purple,Summer,4,No,Store Pickup,Yes,18,Debit Card,Annually
9,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly
10,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,7,Cash,Monthly
11,35,Other,Shoes,Clothing,0,Phoenix,M,Blue,Autumn,0,No,Express,Yes,41,Credit Card,Monthly
12,46,Male,Coat,Outerwear,24,Pennsylvania,XL,Blue,Spring,2.8,Yes,Next Day Air,Yes,4,PayPal,Quarterly
13,64,Other,Laptop,Electronics,884.04,Los Angeles,,Black,Spring,0,No,Express,No,0,Credit Card,Quarterly
14,57,Female,T-shirt,Clothing,20,Florida,M,Black,Spring,4.2,No,Free Shipping,No,4,Venmo,Annually
